Term name	atom_id	Figure_source	Figure_Caption	Short_credit	info	Long_Credit	empty
dilation	347635	CH_D_0AAAD_Figdilation__v3_Orig	Bilateral  dilated pupils	"AACN,  2008"	AACN	"AACN  (Carlson): AACN Advanced Critical Care Nursing, Philadelphia, 2008, W.B. Saunders Company. "	
burn	341873	CH_B_0AAAB_Figburn_2__v1_Orig	First-degree burn: damaged epidermis and edema	"AACN, 2008"	AACN	"AACN  (Carlson): AACN Advanced Critical Care Nursing, Philadelphia, 2008, W.B. Saunders Company. "	
burn	341873	CH_B_0AAAB_Figburn_6__v1_Orig	Deep partial-thickness second-degree burn	"AACN, 2009"	AACN	"AACN  (Carlson): AACN Advanced Critical Care Nursing, Philadelphia, 2008, W.B. Saunders Company. "	
empyema	349195	CH_E_0AAAE_Figempyema__v2_Orig	Cross section of thorax with empyema	"AACN, 2008"	AACN	"AACN  (Carlson): AACN Advanced Critical Care Nursing, Philadelphia, 2008, W.B. Saunders Company. "	
endarterectomy	349270	CH_E_0AAAE_Figendarterectomy__v2_Orig	Endarterectomy	"AACN, 2008"	AACN	"AACN  (Carlson): AACN Advanced Critical Care Nursing, Philadelphia, 2008, W.B. Saunders Company. "	
endoscope	349364	CH_E_0AAAE_Figendoscope__v2_Orig	"The endoscope, with an attached ligating device"	"AACN, 2008"	AACN	"AACN  (Carlson): AACN Advanced Critical Care Nursing, Philadelphia, 2008, W.B. Saunders Company. "	
epidural anesthesia/analgesia	349630	CH_E_0AAAE_Figepidural_anesthesia_analgesia___v2_Orig	Epidural catheter	"AACN, 2008"	AACN	"AACN  (Carlson): AACN Advanced Critical Care Nursing, Philadelphia, 2008, W.B. Saunders Company. "	
neuromuscular junction	362782	CH_N_0AAAN_FigNeuromuscular_junction__v2_Orig	Neuromuscular junction	"AACN, 2008"	AACN	"AACN  (Carlson): AACN Advanced Critical Care Nursing, Philadelphia, 2008, W.B. Saunders Company. "	
dermatographia	347155	CH_D_0AAAD_Figdermatographia__v2_Orig	Dermatographia	"Abajian et al, 2014"	Abajian et al	"Abajian M , Schoepke N, Altrichter S, Zuberbier T, Maurer M: Physical Urticarias and Cholinergic Urticaria. Immunology and Allergy Clinics of North America. (34) 1: 73-88, 2014. "	
respiratory distress syndrome of the newborn (RDS)	370331	CH_R_0AAAR_Figrespiratory distress syndrome__v1_Orig	Respiratory distress syndrome in a newborn	"Adam, Grainger, and Allison, 2008"	Adam	"Adam A, Dixon  AK, Grainger RG, Allison DJ: Grainger and Allison’s diagnostic radiology, ed 5, New York, 2008, Churchill Livingstone."	
avulsed tooth	339903	CH_A_0AAAA_Figavulsed_tooth__v1_Orig	Avulsed tooth	"Adams, 2008"	Adams	"Adams J: Emergency medicine, Philadelphia, 2008, Saunders."	
automated external defibrillator (AED)	339797	CH_A_0AAAA_Figautomatic_external_defibrillator__AED____v1_Orig	Automated external defibrillator. 	"Aehlert, 2012"	Aehlert	"Aehlert B : ACLS study guide, ed 4, St Louis 2012, Mosby."	
automated external defibrillator (AED)	339797	CH_A_0AAAA_Figautomatic_external_defibrillator__AED____v1_Orig	 Adult. 	"Aehlert, 2012"	Aehlert	"Aehlert B : ACLS study guide, ed 4, St Louis 2012, Mosby."	
automated external defibrillator (AED)	339797	CH_A_0AAAA_Figautomatic_external_defibrillator__AED____v1_Orig	 Pediatric	"Aehlert, 2012"	Aehlert	"Aehlert B : ACLS study guide, ed 4, St Louis 2012, Mosby."	
cricoid pressure	345928	CH_C_0AAAC_Figcricoid_pressure___v1_Orig	Cricoid pressure	"Aehlert, 2012"	Aehlert	"Aehlert B : ACLS study guide, ed 4, St Louis 2012, Mosby."	
